area,bedrooms,location,price
135,2,"Quận Gò Vấp, Hồ Chí Minh",14.5
74,7,"Quận 1, Hồ Chí Minh",37
151,4,"Quận 12, Hồ Chí Minh",12.5
32,2,"Quận Tân Phú, Hồ Chí Minh",3.95
32,2,"Quận Bình Tân, Hồ Chí Minh",3.58
33,2,"Quận Bình Tân, Hồ Chí Minh",3.2
40,3,"Quận Bình Tân, Hồ Chí Minh",4.6
48,2,"Quận Bình Tân, Hồ Chí Minh",4.5
36,2,"Quận Bình Tân, Hồ Chí Minh",4.75
27,2,"Quận Bình Tân, Hồ Chí Minh",3.25
28,2,"Quận Bình Tân, Hồ Chí Minh",3.65
32,3,"Quận Bình Tân, Hồ Chí Minh",3.8
84,6,"Quận Tân Bình, Hồ Chí Minh",20
135,7,"Quận Tân Bình, Hồ Chí Minh",23.5
144,34,"Quận Tân Bình, Hồ Chí Minh",71
115,6,"Quận Tân Bình, Hồ Chí Minh",18.5
80,6,"Quận Tân Bình, Hồ Chí Minh",20
84,6,"Quận Tân Bình, Hồ Chí Minh",22
161,4,"Quận Tân Bình, Hồ Chí Minh",25.5
260,4,"Quận Tân Bình, Hồ Chí Minh",55
245,4,"Quận Bình Thạnh, Hồ Chí Minh",88
111,26,"Quận Tân Phú, Hồ Chí Minh",23.5
207.5,2,"Quận Tân Bình, Hồ Chí Minh",43
540,7,"Quận 11, Hồ Chí Minh",95
207.5,0,"Quận Tân Bình, Hồ Chí Minh",43
70,5,"Quận Tân Bình, Hồ Chí Minh",12.5
84,3,"Huyện Bình Chánh, Hồ Chí Minh",1.5
58,3,"Quận 7, Hồ Chí Minh",6.6
122.2,2,"Quận 10, Hồ Chí Minh",25
115,5,"Quận 3, Hồ Chí Minh",24
224,5,"Quận 10, Hồ Chí Minh",74
100,8,"Quận 7, Hồ Chí Minh",9.5
72,13,"Quận 1, Hồ Chí Minh",36.8
100,4,"Quận 2, Hồ Chí Minh",50
128,12,"Quận Phú Nhuận, Hồ Chí Minh",50
80,5,"Quận 1, Hồ Chí Minh",42
120,7,"Quận Phú Nhuận, Hồ Chí Minh",24
90,10,"Quận 10, Hồ Chí Minh",45
59,1,"Quận 7, Hồ Chí Minh",5.9
48,3,"Quận Phú Nhuận, Hồ Chí Minh",11
36,3,"Quận 7, Hồ Chí Minh",5.8
100,5,"Quận 1, Hồ Chí Minh",27
84,6,"Quận 3, Hồ Chí Minh",23.5
60,5,"Quận 3, Hồ Chí Minh",12.5
70,6,"Quận 10, Hồ Chí Minh",15.3
48,2,"Quận 2, Hồ Chí Minh",4.25
72,4,"Quận Tân Phú, Hồ Chí Minh",8.7
58,3,"Quận 12, Hồ Chí Minh",4.8
55,2,"Quận Tân Bình, Hồ Chí Minh",11.5
160,2,"Quận 11, Hồ Chí Minh",24
98,8,"Quận 10, Hồ Chí Minh",21.5
31,3,"Quận 10, Hồ Chí Minh",5.4
38,2,"Quận 11, Hồ Chí Minh",4.3
110,6,"Quận 12, Hồ Chí Minh",13
124.2,6,"Quận 1, Hồ Chí Minh",23.5
380,10,"Quận 5, Hồ Chí Minh",250
135,6,"Quận 3, Hồ Chí Minh",55
108,6,"Quận 1, Hồ Chí Minh",23
141,5,"Quận 10, Hồ Chí Minh",29
70,4,"Quận 1, Hồ Chí Minh",24.5
129,4,"Quận 1, Hồ Chí Minh",85
35,2,"Quận Tân Phú, Hồ Chí Minh",3.7
55,4,"Quận 1, Hồ Chí Minh",14.9
96,1,"Quận Tân Phú, Hồ Chí Minh",5.7
90,4,"Quận Tân Phú, Hồ Chí Minh",6.9
212,1,"Quận Tân Bình, Hồ Chí Minh",32.5
200,20,"Quận Phú Nhuận, Hồ Chí Minh",41
28,4,"Quận Tân Phú, Hồ Chí Minh",3.55
136,7,"Quận Phú Nhuận, Hồ Chí Minh",60
62.9,10,"Quận 10, Hồ Chí Minh",23.5
84,8,"Quận 3, Hồ Chí Minh",26
132,8,"Quận 1, Hồ Chí Minh",37
96,5,"Quận Tân Bình, Hồ Chí Minh",21.5
155,5,"Quận 3, Hồ Chí Minh",39
105,4,"Quận 10, Hồ Chí Minh",26.5
99.2,6,"Quận 10, Hồ Chí Minh",26
62,5,"Quận 10, Hồ Chí Minh",21
121,5,"Quận 10, Hồ Chí Minh",29.5
269,36,"Quận Tân Bình, Hồ Chí Minh",33
172,3,"Quận 3, Hồ Chí Minh",100
140,3,"Quận 3, Hồ Chí Minh",16.8
88,5,"Quận 1, Hồ Chí Minh",55
62,4,"Quận 8, Hồ Chí Minh",8.3
60,3,"Quận 8, Hồ Chí Minh",8.4
209,3,"Quận 8, Hồ Chí Minh",10.5
48,4,"Quận 8, Hồ Chí Minh",12.6
240,16,"Quận Tân Bình, Hồ Chí Minh",34
84,16,"Quận Tân Bình, Hồ Chí Minh",18.2
120,4,"Quận 12, Hồ Chí Minh",5.8
48.5,4,"Quận 8, Hồ Chí Minh",2.05
75,2,"Quận Bình Thạnh, Hồ Chí Minh",23.5
180,25,"Quận 10, Hồ Chí Minh",65
280,35,"Quận 10, Hồ Chí Minh",60
420,5,"Quận Bình Thạnh, Hồ Chí Minh",81
350,15,"Quận Bình Thạnh, Hồ Chí Minh",48
60,2,"Quận Bình Tân, Hồ Chí Minh",4.1
57.9,3,"Quận 10, Hồ Chí Minh",20
88,5,"Quận 1, Hồ Chí Minh",35
32,1,"Quận 3, Hồ Chí Minh",19
52,2,"Quận 10, Hồ Chí Minh",14
144,6,"Quận 1, Hồ Chí Minh",60
160,10,"Quận Tân Bình, Hồ Chí Minh",52
60,4,"Quận 7, Hồ Chí Minh",12.39
35,2,"Quận 4, Hồ Chí Minh",4.69
65,3,"Quận 7, Hồ Chí Minh",5.5
23,2,"Quận 4, Hồ Chí Minh",4.5
160,35,"Quận Bình Thạnh, Hồ Chí Minh",35
40,5,"Quận 10, Hồ Chí Minh",12.9
144,35,"Quận 10, Hồ Chí Minh",72.5
92,5,"Quận 1, Hồ Chí Minh",39
95,14,"Quận 1, Hồ Chí Minh",92
200,12,"Quận 3, Hồ Chí Minh",100
160,20,"Quận 3, Hồ Chí Minh",179
110,5,"Quận Phú Nhuận, Hồ Chí Minh",28
